SerialNo;State;Population;AreaInSqKm;DensityPerSqKm
1;Maharashtra;112372972;307713;365
2;Bihar;103804637;9416;1102
3;UttarPradesh;199812341;240928;828
4;Haryana;25353081;44212;573
5;WestBengal;91347736;88752;1029
